Date,Open,High,Low,Close,Volume
08/08/2022,"109.20","110.36","105.94","107.83","6,041,462"
08/05/2022,"109.06","111.22","107.44","109.62","4,784,018"
08/04/2022,"109.42","111.19","109.03","111.06","5,279,567"
08/03/2022,"105.74","110.60","105.68","109.01","6,088,039"
08/02/2022,"104.71","106.54","103.66","104.99","4,137,933"
08/01/2022,"104.49","107.34","103.67","106.40","4,737,621"
07/29/2022,"103.50","106.55","103.04","105.98","5,817,668"
07/28/2022,"103.37","105.29","100.75","105.16","6,090,516"
07/27/2022,"100.57","104.50","100.06","103.46","7,274,974"
07/26/2022,"100.58","100.98","98.57","98.91","5,073,857"
07/25/2022,"100.51","101.27","99.46","101.00","4,367,046"
07/22/2022,"103.71","103.96","100.94","101.67","5,100,432"
07/21/2022,"103.54","103.97","101.02","103.84","5,463,760"
07/20/2022,"97.59","102.86","97.51","102.23","8,314,020"
07/19/2022,"94.68","98.64","94.37","98.23","8,203,162"
07/18/2022,"95.76","96.40","92.55","93.14","5,683,385"
07/15/2022,"92.36","94.59","90.21","94.47","8,051,247"
07/14/2022,"88.48","92.08","86.41","91.67","8,686,504"
07/13/2022,"86.53","90.12","86.48","89.08","5,786,887"
07/12/2022,"89.24","90.02","88.09","88.73","5,492,279"
07/11/2022,"89.50","90.07","87.82","88.62","5,326,575"
