Date,Open,High,Low,Close,Volume
08/08/2022,"73.00","73.83","72.93","73.26","2,033,439"
08/05/2022,"72.10","72.79","71.56","72.76","2,509,529"
08/04/2022,"73.05","73.17","72.03","72.47","3,074,633"
08/03/2022,"73.00","73.52","71.95","72.00","3,723,981"
08/02/2022,"73.60","74.06","72.77","72.80","2,684,981"
08/01/2022,"73.62","74.16","73.40","73.67","2,613,470"
07/29/2022,"73.10","74.18","73.04","73.99","4,414,944"
07/28/2022,"72.23","73.61","72.04","73.54","2,738,955"
07/27/2022,"72.00","72.52","71.21","71.87","2,529,624"
07/26/2022,"71.62","72.61","71.62","72.43","2,374,664"
07/25/2022,"71.50","71.89","71.26","71.61","2,051,237"
07/22/2022,"71.00","71.47","70.69","71.35","2,224,750"
07/21/2022,"70.00","70.60","69.75","70.58","1,843,372"
07/20/2022,"69.94","70.55","69.39","70.25","1,861,485"
07/19/2022,"69.93","70.13","69.29","70.08","2,528,672"
07/18/2022,"70.50","70.64","69.17","69.47","2,913,499"
07/15/2022,"69.36","70.42","68.84","70.31","3,803,628"
07/14/2022,"67.03","68.66","66.86","68.45","3,970,001"
07/13/2022,"68.63","69.24","68.03","68.05","3,343,100"
07/12/2022,"69.09","69.89","68.79","69.36","2,587,341"
07/11/2022,"68.92","69.58","68.63","69.56","2,836,274"
