Date,Open,High,Low,Close,Volume
08/08/2022,"885.00","915.60","867.26","871.27","33,121,762"
08/05/2022,"908.01","913.82","856.63","864.51","37,724,301"
08/04/2022,"933.00","940.82","915.00","925.90","24,085,439"
08/03/2022,"915.00","928.65","903.45","922.19","26,697,039"
08/02/2022,"882.01","923.50","878.00","901.76","31,859,160"
08/01/2022,"903.83","935.63","885.00","891.83","39,014,301"
07/29/2022,"842.10","894.96","837.30","891.45","31,770,961"
07/28/2022,"840.20","849.90","818.40","842.70","28,241,000"
07/27/2022,"791.43","827.78","785.37","824.46","29,370,000"
07/26/2022,"799.54","801.93","768.79","776.58","22,273,590"
07/25/2022,"816.65","822.44","802.20","805.30","21,357,840"
07/22/2022,"828.66","842.36","812.14","816.73","34,490,953"
07/21/2022,"765.32","819.80","764.60","815.12","47,344,059"
07/20/2022,"740.35","751.99","730.45","742.50","29,621,359"
07/19/2022,"735.00","741.42","710.93","736.59","26,963,369"
07/18/2022,"734.81","751.55","718.81","721.64","27,512,480"
07/15/2022,"720.00","730.87","710.67","720.20","23,227,670"
07/14/2022,"704.69","715.96","688.00","714.94","26,185,830"
07/13/2022,"676.50","726.18","675.10","711.12","32,651,500"
07/12/2022,"710.54","719.32","685.11","699.21","29,310,320"
07/11/2022,"756.31","759.19","700.88","703.03","33,169,738"
